respondent_id,question_id,statement,response,response_num
66,Q8,The culture at this organization aligns with my values,Strongly Agree,5
67,Q1,I have the resources I need to do my job well,Disagree,2
67,Q2,I feel safe and comfortable in my workplace,Agree,4
67,Q3,I feel valued for the work I do,Neutral,3
67,Q4,I receive constructive feedback that helps me improve,Disagree,2
67,Q5,There is a clear path for career advancement here,Disagree,2
67,Q6,My team works well together,Agree,4
67,Q7,People here treat each other with respect,Agree,4
67,Q8,The culture at this organization aligns with my values,Strongly Agree,5
68,Q1,I have the resources I need to do my job well,Neutral,3
68,Q2,I feel safe and comfortable in my workplace,Strongly Agree,5
68,Q3,I feel valued for the work I do,Neutral,3
68,Q4,I receive constructive feedback that helps me improve,Strongly Disagree,1
68,Q5,There is a clear path for career advancement here,Disagree,2
68,Q6,My team works well together,Strongly Agree,5
68,Q7,People here treat each other with respect,Strongly Agree,5
68,Q8,The culture at this organization aligns with my values,Agree,4
69,Q1,I have the resources I need to do my job well,Strongly Disagree,1
69,Q2,I feel safe and comfortable in my workplace,Neutral,3
69,Q3,I feel valued for the work I do,Neutral,3
69,Q4,I receive constructive feedback that helps me improve,Disagree,2
69,Q5,There is a clear path for career advancement here,Disagree,2
69,Q6,My team works well together,Strongly Agree,5
69,Q7,People here treat each other with respect,Disagree,2
69,Q8,The culture at this organization aligns with my values,Agree,4
70,Q1,I have the resources I need to do my job well,Strongly Disagree,1
70,Q2,I feel safe and comfortable in my workplace,Neutral,3
70,Q3,I feel valued for the work I do,Strongly Disagree,1
70,Q4,I receive constructive feedback that helps me improve,Neutral,3
70,Q5,There is a clear path for career advancement here,Strongly Agree,5
70,Q6,My team works well together,Neutral,3
70,Q7,People here treat each other with respect,Neutral,3
70,Q8,The culture at this organization aligns with my values,Disagree,2
